data_i;cod_staz;cod_aggr;prec24;cl_prec24;prec01;prec06;cl_prec06;prec12;cl_prec12;ggneve;storm;ggstorm
2021-08-07 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-07T00:00:00');((24, 1), 0.0, '2021-08-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-08 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-08T00:00:00');((24, 1), 0.0, '2021-08-08T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-08T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-09 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-09T00:00:00');((24, 1), 0.0, '2021-08-09T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-09T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-10 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-10T00:00:00');((24, 1), 0.0, '2021-08-10T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-10T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-11 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-11T00:00:00');((24, 1), 0.0, '2021-08-11T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-11T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-12 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-12T00:00:00');((24, 1), 0.0, '2021-08-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-13 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-13T00:00:00');((24, 1), 0.0, '2021-08-13T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-13T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-14 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-14T00:00:00');((24, 1), 0.0, '2021-08-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-15 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-15T00:00:00');((24, 1), 0.0, '2021-08-15T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-15T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-16 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-16T00:00:00');((24, 1), 0.0, '2021-08-16T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-16T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-17T00:00:00');((24, 1), 0.0, '2021-08-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-18 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-18T00:00:00');((24, 1), 0.0, '2021-08-18T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-18T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-19 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-19T00:00:00');((24, 1), 0.0, '2021-08-19T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-19T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-20 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-20T00:00:00');((24, 1), 0.0, '2021-08-20T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-20T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-21 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-21T00:00:00');((24, 1), 0.0, '2021-08-21T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-21T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-22 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-22T00:00:00');((24, 1), 0.0, '2021-08-22T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-22T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-23 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-23T00:00:00');((24, 1), 0.0, '2021-08-23T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-23T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-24 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-24T00:00:00');((24, 1), 0.0, '2021-08-24T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-24T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-25 00:00:00;6660;4;((24, 1), 10.6, None, None);(22, 1, 1, 0, 0, 0);((24, 1), 8.8, '2021-08-25T06:00:00');((24, 1), 10.6, '2021-08-25T06:00:00');(3, 0, 0, 1, 0, 0);((24, 1), 10.6, '2021-08-25T00:00:00');(1, 0, 0, 1, 0, 0);;;
2021-08-26 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-26T00:00:00');((24, 1), 0.0, '2021-08-26T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-26T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-27 00:00:00;6660;4;((24, 1), 13.0, None, None);(22, 1, 1, 0, 0, 0);((24, 1), 10.0, '2021-08-27T16:00:00');((24, 1), 13.0, '2021-08-27T12:00:00');(3, 0, 0, 1, 0, 0);((24, 1), 13.0, '2021-08-27T12:00:00');(1, 0, 0, 1, 0, 0);;;
2021-08-28 00:00:00;6660;4;((24, 1), 5.0, None, None);(22, 2, 0, 0, 0, 0);((24, 1), 2.6, '2021-08-28T13:00:00');((24, 1), 5.0, '2021-08-28T12:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 5.0, '2021-08-28T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-08-29 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-29T00:00:00');((24, 1), 0.0, '2021-08-29T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-29T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-30 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-30T00:00:00');((24, 1), 0.0, '2021-08-30T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-08-30T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-08-31 00:00:00;6660;4;((24, 1), 8.8, None, None);(20, 4, 0, 0, 0, 0);((24, 1), 3.4, '2021-08-31T19:00:00');((24, 1), 8.2, '2021-08-31T18:00:00');(3, 0, 1, 0, 0, 0);((24, 1), 8.8, '2021-08-31T12:00:00');(1, 0, 1, 0, 0, 0);;;
2021-09-01 00:00:00;6660;4;((24, 1), 1.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-01T16:00:00');((24, 1), 0.8, '2021-09-01T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-01T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-02 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-02T00:00:00');((24, 1), 0.0, '2021-09-02T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-02T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-03 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-03T00:00:00');((24, 1), 0.0, '2021-09-03T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-03T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-04 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-04T00:00:00');((24, 1), 0.0, '2021-09-04T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-04T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-05 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-05T00:00:00');((24, 1), 0.0, '2021-09-05T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-05T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-06 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-06T00:00:00');((24, 1), 0.0, '2021-09-06T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-06T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-07 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-07T00:00:00');((24, 1), 0.0, '2021-09-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-08 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-08T00:00:00');((24, 1), 0.0, '2021-09-08T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-08T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-09 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-09T00:00:00');((24, 1), 0.0, '2021-09-09T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-09T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-10 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.4, '2021-09-10T18:00:00');((24, 1), 0.8, '2021-09-10T18:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-10T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-11 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-11T00:00:00');((24, 1), 0.0, '2021-09-11T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-11T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-12 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-12T00:00:00');((24, 1), 0.0, '2021-09-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-13 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-13T00:00:00');((24, 1), 0.0, '2021-09-13T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-13T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-14 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-14T00:00:00');((24, 1), 0.0, '2021-09-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-15 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-15T00:00:00');((24, 1), 0.0, '2021-09-15T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-15T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-16 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-16T00:00:00');((24, 1), 0.0, '2021-09-16T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-16T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-17T00:00:00');((24, 1), 0.0, '2021-09-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-18 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-18T00:00:00');((24, 1), 0.0, '2021-09-18T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-18T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-19 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-19T00:00:00');((24, 1), 0.0, '2021-09-19T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-19T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-20 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-20T00:00:00');((24, 1), 0.0, '2021-09-20T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-20T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-21 00:00:00;6660;4;((24, 1), 0.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-09-21T14:00:00');((24, 1), 0.2, '2021-09-21T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-09-21T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-22 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-22T00:00:00');((24, 1), 0.0, '2021-09-22T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-22T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-23 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-23T00:00:00');((24, 1), 0.0, '2021-09-23T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-23T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-24 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-24T00:00:00');((24, 1), 0.0, '2021-09-24T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-24T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-25 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-25T00:00:00');((24, 1), 0.0, '2021-09-25T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-25T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-26 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-26T00:00:00');((24, 1), 0.0, '2021-09-26T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-26T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-27 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-27T00:00:00');((24, 1), 0.0, '2021-09-27T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-27T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-28 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-28T00:00:00');((24, 1), 0.0, '2021-09-28T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-28T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-29 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-29T00:00:00');((24, 1), 0.0, '2021-09-29T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-29T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-30 00:00:00;6660;4;((24, 1), 0.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-09-30T13:00:00');((24, 1), 0.2, '2021-09-30T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-09-30T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-01 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-01T00:00:00');((24, 1), 0.0, '2021-10-01T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-01T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-02 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-02T00:00:00');((24, 1), 0.0, '2021-10-02T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-02T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-03 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-03T00:00:00');((24, 1), 0.0, '2021-10-03T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-03T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-04 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-04T00:00:00');((24, 1), 0.0, '2021-10-04T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-04T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-05 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-05T00:00:00');((24, 1), 0.0, '2021-10-05T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-05T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-06 00:00:00;6660;4;((24, 1), 5.6, None, None);(22, 2, 0, 0, 0, 0);((24, 1), 2.2, '2021-10-06T10:00:00');((24, 1), 4.2, '2021-10-06T06:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 4.2, '2021-10-06T00:00:00');(0, 2, 0, 0, 0, 0);;;
2021-10-07 00:00:00;6660;4;((24, 1), 150.8, None, None);(10, 6, 1, 6, 1, 0);((24, 1), 31.8, '2021-10-07T10:00:00');((24, 1), 98.4, '2021-10-07T12:00:00');(1, 0, 0, 1, 1, 1);((24, 1), 117.8, '2021-10-07T12:00:00');(0, 0, 0, 0, 1, 1);;;
2021-10-08 00:00:00;6660;4;((24, 1), 20.2, None, None);(16, 8, 0, 0, 0, 0);((24, 1), 3.0, '2021-10-08T02:00:00');((24, 1), 10.2, '2021-10-08T00:00:00');(1, 1, 1, 1, 0, 0);((24, 1), 15.8, '2021-10-08T00:00:00');(0, 1, 0, 1, 0, 0);;;
2021-10-09 00:00:00;6660;4;((24, 1), 3.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-10-09T03:00:00');((24, 1), 1.4, '2021-10-09T18:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 2.4, '2021-10-09T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-10-10 00:00:00;6660;4;((24, 1), 1.4, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-10-10T09:00:00');((24, 1), 1.2, '2021-10-10T06:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-10-10T00:00:00');(1, 1, 0, 0, 0, 0);;;
2021-10-11 00:00:00;6660;4;((24, 1), 1.6, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-10-11T02:00:00');((24, 1), 1.2, '2021-10-11T00:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.6, '2021-10-11T00:00:00');(1, 1, 0, 0, 0, 0);;;
2021-10-12 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-12T00:00:00');((24, 1), 0.0, '2021-10-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-13 00:00:00;6660;4;((24, 1), 4.8, None, None);(22, 2, 0, 0, 0, 0);((24, 1), 2.4, '2021-10-13T18:00:00');((24, 1), 3.4, '2021-10-13T18:00:00');(2, 2, 0, 0, 0, 0);((24, 1), 4.8, '2021-10-13T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-10-14 00:00:00;6660;4;((24, 1), 0.6, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.4, '2021-10-14T05:00:00');((24, 1), 0.4, '2021-10-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-10-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-15 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-15T00:00:00');((24, 1), 0.0, '2021-10-15T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-15T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-16 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-16T00:00:00');((24, 1), 0.0, '2021-10-16T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-16T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-17T00:00:00');((24, 1), 0.0, '2021-10-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-10-18 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-18T00:00:00');((24, 1), 0.0, '2021-10-18T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-10-18T00:00:00');(2, 0, 0, 0, 0, 0);;;
