data_i;cod_staz;cod_aggr;tmxgg;cl_tmxgg;tmngg;cl_tmngg;tmdgg;tmdgg1;deltagg;day_gelo;cl_tist;t00;t01;t02;t03;t04;t05;t06;t07;t08;t09;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23
2021-01-01 00:00:00;6660;4;((24, 1), 8.8, 2.5, 4.4, '2021-01-01T15:00:00');;((24, 1), 0.2, 2.4, 3.3, '2021-01-01T03:00:00');;((24, 1), 3.8, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;6660;4;((24, 1), 13.1, 3.4, 7.7, '2021-01-02T14:00:00');;((24, 1), 1.5, 3.3, 6.3, '2021-01-02T04:00:00');;((24, 1), 7.0, 3.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;6660;4;((24, 1), 13.5, 2.4, 8.9, '2021-01-03T13:00:00');;((24, 1), 4.8, 2.3, 7.9, '2021-01-03T23:00:00');;((24, 1), 8.4, 2.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;6660;4;((24, 1), 14.5, 3.7, 7.5, '2021-01-04T11:00:00');;((24, 1), 3.3, 3.2, 6.2, '2021-01-04T23:00:00');;((24, 1), 6.8, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;6660;4;((24, 1), 10.3, 2.2, 5.4, '2021-01-05T14:00:00');;((24, 1), 2.0, 1.9, 4.5, '2021-01-05T03:00:00');;((24, 1), 4.9, 2.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;6660;4;((24, 1), 13.7, 4.0, 7.1, '2021-01-06T11:00:00');;((24, 1), 1.5, 3.9, 5.5, '2021-01-06T06:00:00');;((24, 1), 6.2, 4.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;6660;4;((24, 1), 9.8, 2.7, 5.6, '2021-01-07T12:00:00');;((24, 1), 0.6, 2.8, 4.8, '2021-01-07T03:00:00');;((24, 1), 5.2, 2.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;6660;4;((24, 1), 6.2, 0.4, 5.4, '2021-01-08T15:00:00');;((24, 1), 4.5, 0.4, 5.1, '2021-01-08T08:00:00');;((24, 1), 5.3, 0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;6660;4;((24, 1), 6.6, 0.9, 5.0, '2021-01-09T11:00:00');;((24, 1), 3.7, 0.8, 4.7, '2021-01-09T17:00:00');;((24, 1), 4.9, 0.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;6660;4;((24, 1), 5.8, 0.7, 4.5, '2021-01-10T14:00:00');;((24, 1), 3.1, 0.7, 4.3, '2021-01-10T18:00:00');;((24, 1), 4.4, 0.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;6660;4;((24, 1), 6.1, 0.6, 5.0, '2021-01-11T12:00:00');;((24, 1), 3.9, 0.6, 4.7, '2021-01-11T23:00:00');;((24, 1), 4.8, 0.6);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;6660;4;((24, 1), 7.9, 2.2, 4.6, '2021-01-12T11:00:00');;((24, 1), 0.1, 2.1, 3.9, '2021-01-12T23:00:00');;((24, 1), 4.2, 2.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;6660;4;((24, 1), 12.1, 4.6, 4.4, '2021-01-13T12:00:00');;((24, 1), -1.5, 4.3, 3.0, '2021-01-13T04:00:00');;((24, 1), 3.7, 4.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;6660;4;((24, 1), 15.4, 5.4, 7.2, '2021-01-14T14:00:00');;((24, 1), -0.3, 5.1, 5.9, '2021-01-14T04:00:00');;((24, 1), 6.6, 5.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;6660;4;((24, 1), 8.9, 1.5, 6.4, '2021-01-15T12:00:00');;((24, 1), 2.8, 1.5, 5.8, '2021-01-15T23:00:00');;((24, 1), 6.1, 1.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;6660;4;((24, 1), 8.1, 2.4, 3.7, '2021-01-16T13:00:00');;((24, 1), -0.2, 2.0, 2.9, '2021-01-16T23:00:00');;((24, 1), 3.3, 2.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;6660;4;((24, 1), 7.1, 3.0, 2.8, '2021-01-17T13:00:00');;((24, 1), -2.1, 3.0, 2.0, '2021-01-17T03:00:00');;((24, 1), 2.4, 3.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;6660;4;((24, 1), 13.3, 3.7, 5.1, '2021-01-18T13:00:00');;((24, 1), 0.8, 3.1, 3.8, '2021-01-18T21:00:00');;((24, 1), 4.5, 3.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;6660;4;((24, 1), 13.4, 5.0, 5.4, '2021-01-19T11:00:00');;((24, 1), -0.7, 4.6, 4.0, '2021-01-19T06:00:00');;((24, 1), 4.7, 4.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;6660;4;((24, 1), 16.2, 5.4, 7.3, '2021-01-20T10:00:00');;((24, 1), 0.7, 5.0, 5.7, '2021-01-20T01:00:00');;((24, 1), 6.5, 5.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;6660;4;((24, 1), 13.0, 3.3, 7.2, '2021-01-21T14:00:00');;((24, 1), 2.1, 3.1, 6.0, '2021-01-21T02:00:00');;((24, 1), 6.6, 3.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;6660;4;((24, 1), 16.8, 3.4, 13.0, '2021-01-22T15:00:00');;((24, 1), 5.3, 3.4, 11.2, '2021-01-22T00:00:00');;((24, 1), 12.1, 3.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;6660;4;((24, 1), 15.6, 1.4, 12.7, '2021-01-23T11:00:00');;((24, 1), 9.5, 1.2, 11.4, '2021-01-23T00:00:00');;((24, 1), 12.0, 1.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;6660;4;((24, 1), 12.9, 2.2, 9.8, '2021-01-24T02:00:00');;((24, 1), 5.5, 2.1, 8.9, '2021-01-24T22:00:00');;((24, 1), 9.3, 2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-25 00:00:00;6660;4;((24, 1), 8.4, 1.1, 6.2, '2021-01-25T11:00:00');;((24, 1), 3.0, 1.3, 5.2, '2021-01-25T04:00:00');;((24, 1), 5.7, 1.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-26 00:00:00;6660;4;((24, 1), 10.4, 2.8, 6.0, '2021-01-26T13:00:00');;((24, 1), 2.2, 2.7, 5.1, '2021-01-26T22:00:00');;((24, 1), 5.5, 2.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-27 00:00:00;6660;4;((24, 1), 12.1, 3.8, 5.5, '2021-01-27T12:00:00');;((24, 1), 1.2, 3.3, 4.5, '2021-01-27T06:00:00');;((24, 1), 4.9, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 00:00:00;6660;4;((24, 1), 13.4, 4.2, 6.4, '2021-01-28T11:00:00');;((24, 1), 1.2, 3.8, 5.3, '2021-01-28T07:00:00');;((24, 1), 5.8, 4.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-29 00:00:00;6660;4;((24, 1), 13.2, 4.0, 7.4, '2021-01-29T14:00:00');;((24, 1), 1.6, 3.8, 6.1, '2021-01-29T04:00:00');;((24, 1), 6.7, 3.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-30 00:00:00;6660;4;((24, 1), 19.8, 6.1, 10.2, '2021-01-30T14:00:00');;((24, 1), 0.6, 6.0, 8.4, '2021-01-30T06:00:00');;((24, 1), 9.3, 6.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-31 00:00:00;6660;4;((24, 1), 19.6, 3.4, 11.3, '2021-01-31T11:00:00');;((24, 1), 7.9, 2.6, 10.1, '2021-01-31T19:00:00');;((24, 1), 10.6, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-01 00:00:00;6660;4;((24, 1), 13.4, 2.0, 9.8, '2021-02-01T14:00:00');;((24, 1), 7.4, 1.6, 9.2, '2021-02-01T06:00:00');;((24, 1), 9.5, 1.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-02 00:00:00;6660;4;((24, 1), 11.9, 1.3, 9.4, '2021-02-02T13:00:00');;((24, 1), 7.3, 1.2, 8.8, '2021-02-02T19:00:00');;((24, 1), 9.1, 1.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-03 00:00:00;6660;4;((24, 1), 18.1, 4.3, 11.0, '2021-02-03T13:00:00');;((24, 1), 5.1, 4.1, 9.7, '2021-02-03T07:00:00');;((24, 1), 10.3, 4.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-04 00:00:00;6660;4;((24, 1), 19.7, 5.1, 11.4, '2021-02-04T12:00:00');;((24, 1), 5.2, 4.7, 10.1, '2021-02-04T07:00:00');;((24, 1), 10.8, 4.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-05 00:00:00;6660;4;((24, 1), 16.7, 3.7, 10.7, '2021-02-05T12:00:00');;((24, 1), 4.7, 3.6, 9.7, '2021-02-05T07:00:00');;((24, 1), 10.2, 3.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-06 00:00:00;6660;4;((24, 1), 14.6, 1.5, 11.7, '2021-02-06T14:00:00');;((24, 1), 10.0, 1.2, 11.2, '2021-02-06T23:00:00');;((24, 1), 11.4, 1.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-07 00:00:00;6660;4;((24, 1), 19.8, 3.7, 13.6, '2021-02-07T12:00:00');;((24, 1), 8.8, 3.2, 12.6, '2021-02-07T07:00:00');;((24, 1), 13.1, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-08 00:00:00;6660;4;((24, 1), 17.6, 2.1, 13.4, '2021-02-08T15:00:00');;((24, 1), 8.2, 2.3, 12.1, '2021-02-08T06:00:00');;((24, 1), 12.7, 2.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-09 00:00:00;6660;4;((24, 1), 17.1, 2.5, 12.9, '2021-02-09T14:00:00');;((24, 1), 9.6, 2.4, 11.8, '2021-02-09T05:00:00');;((24, 1), 12.3, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-10 00:00:00;6660;4;((24, 1), 18.2, 3.2, 13.2, '2021-02-10T13:00:00');;((24, 1), 8.5, 3.0, 11.7, '2021-02-10T07:00:00');;((24, 1), 12.4, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-11 00:00:00;6660;4;((24, 1), 16.0, 3.6, 10.2, '2021-02-11T12:00:00');;((24, 1), 4.3, 3.5, 8.9, '2021-02-11T07:00:00');;((24, 1), 9.5, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-12 00:00:00;6660;4;((24, 1), 6.3, 1.2, 5.5, '2021-02-12T00:00:00');;((24, 1), 2.1, 1.3, 5.2, '2021-02-12T23:00:00');;((24, 1), 5.3, 1.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-13 00:00:00;6660;4;((24, 1), 3.4, 1.1, 0.9, '2021-02-13T12:00:00');;((24, 1), -1.6, 0.9, 0.3, '2021-02-13T23:00:00');;((24, 1), 0.6, 0.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-14 00:00:00;6660;4;((24, 1), 5.1, 2.6, 1.5, '2021-02-14T12:00:00');;((24, 1), -2.5, 2.2, 0.5, '2021-02-14T05:00:00');;((24, 1), 1.0, 2.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-15 00:00:00;6660;4;((24, 1), 7.5, 3.2, 2.9, '2021-02-15T11:00:00');;((24, 1), -0.8, 3.0, 2.0, '2021-02-15T23:00:00');;((24, 1), 2.5, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-16 00:00:00;6660;4;((24, 1), 12.7, 5.0, 5.3, '2021-02-16T14:00:00');;((24, 1), -1.2, 4.7, 3.8, '2021-02-16T07:00:00');;((24, 1), 4.5, 4.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-17 00:00:00;6660;4;((24, 1), 17.8, 5.5, 8.9, '2021-02-17T13:00:00');;((24, 1), 0.8, 5.2, 7.5, '2021-02-17T02:00:00');;((24, 1), 8.1, 5.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-18 00:00:00;6660;4;((24, 1), 17.1, 4.2, 10.4, '2021-02-18T11:00:00');;((24, 1), 5.0, 3.8, 9.2, '2021-02-18T05:00:00');;((24, 1), 9.8, 3.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-19 00:00:00;6660;4;((24, 1), 17.7, 4.3, 10.9, '2021-02-19T12:00:00');;((24, 1), 6.1, 4.0, 9.7, '2021-02-19T07:00:00');;((24, 1), 10.3, 4.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-20 00:00:00;6660;4;((24, 1), 18.1, 4.6, 11.1, '2021-02-20T14:00:00');;((24, 1), 5.4, 4.3, 9.9, '2021-02-20T05:00:00');;((24, 1), 10.5, 4.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-21 00:00:00;6660;4;((24, 1), 15.8, 3.9, 10.2, '2021-02-21T12:00:00');;((24, 1), 4.9, 3.7, 9.1, '2021-02-21T04:00:00');;((24, 1), 9.7, 3.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-22 00:00:00;6660;4;((24, 1), 14.5, 3.2, 9.5, '2021-02-22T14:00:00');;((24, 1), 4.8, 3.1, 8.6, '2021-02-22T05:00:00');;((24, 1), 9.0, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-23 00:00:00;6660;4;((24, 1), 16.3, 4.5, 10.1, '2021-02-23T11:00:00');;((24, 1), 3.6, 4.2, 8.8, '2021-02-23T04:00:00');;((24, 1), 9.4, 4.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-24 00:00:00;6660;4;((24, 1), 22.0, 5.1, 14.1, '2021-02-24T12:00:00');;((24, 1), 6.3, 5.2, 12.4, '2021-02-24T00:00:00');;((24, 1), 13.2, 5.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-25 00:00:00;6660;4;((24, 1), 21.8, 4.8, 14.0, '2021-02-25T12:00:00');;((24, 1), 8.6, 4.4, 12.7, '2021-02-25T06:00:00');;((24, 1), 13.3, 4.6);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-26 00:00:00;6660;4;((24, 1), 21.2, 4.2, 14.1, '2021-02-26T12:00:00');;((24, 1), 9.5, 3.9, 12.8, '2021-02-26T20:00:00');;((24, 1), 13.5, 4.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-27 00:00:00;6660;4;((24, 1), 20.7, 4.4, 13.8, '2021-02-27T10:00:00');;((24, 1), 7.4, 4.1, 12.5, '2021-02-27T23:00:00');;((24, 1), 13.2, 4.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-28 00:00:00;6660;4;((24, 1), 16.8, 4.4, 9.2, '2021-02-28T11:00:00');;((24, 1), 3.4, 3.9, 7.9, '2021-02-28T22:00:00');;((24, 1), 8.5, 4.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-01 00:00:00;6660;4;((24, 1), 15.5, 4.6, 8.6, '2021-03-01T13:00:00');;((24, 1), 3.0, 4.3, 7.5, '2021-03-01T06:00:00');;((24, 1), 8.1, 4.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-02 00:00:00;6660;4;((24, 1), 17.1, 4.6, 9.6, '2021-03-02T12:00:00');;((24, 1), 4.1, 4.2, 8.5, '2021-03-02T06:00:00');;((24, 1), 9.0, 4.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-03 00:00:00;6660;4;((24, 1), 17.9, 4.8, 10.0, '2021-03-03T13:00:00');;((24, 1), 4.7, 4.4, 8.8, '2021-03-03T06:00:00');;((24, 1), 9.4, 4.6);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-04 00:00:00;6660;4;((24, 1), 17.8, 4.6, 11.4, '2021-03-04T12:00:00');;((24, 1), 4.7, 4.7, 10.0, '2021-03-04T06:00:00');;((24, 1), 10.7, 4.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-05 00:00:00;6660;4;((24, 1), 17.1, 4.4, 10.8, '2021-03-05T10:00:00');;((24, 1), 4.0, 4.4, 9.5, '2021-03-05T00:00:00');;((24, 1), 10.2, 4.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-06 00:00:00;6660;4;((24, 1), 11.1, 1.2, 8.9, '2021-03-06T13:00:00');;((24, 1), 7.3, 1.0, 8.4, '2021-03-06T09:00:00');;((24, 1), 8.6, 1.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-07 00:00:00;6660;4;((24, 1), 10.5, 1.6, 8.1, '2021-03-07T11:00:00');;((24, 1), 5.7, 1.4, 7.5, '2021-03-07T06:00:00');;((24, 1), 7.8, 1.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-08 00:00:00;6660;4;((24, 1), 10.6, 1.8, 8.0, '2021-03-08T13:00:00');;((24, 1), 5.4, 1.7, 7.6, '2021-03-08T01:00:00');;((24, 1), 7.8, 1.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-09 00:00:00;6660;4;((24, 1), 8.3, 1.0, 7.1, '2021-03-09T13:00:00');;((24, 1), 5.0, 1.0, 6.7, '2021-03-09T21:00:00');;((24, 1), 6.9, 1.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-10 00:00:00;6660;4;((24, 1), 12.5, 2.7, 8.5, '2021-03-10T15:00:00');;((24, 1), 4.5, 2.5, 7.7, '2021-03-10T23:00:00');;((24, 1), 8.1, 2.6);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-11 00:00:00;6660;4;((24, 1), 16.1, 4.7, 9.5, '2021-03-11T13:00:00');;((24, 1), 3.1, 4.5, 8.4, '2021-03-11T05:00:00');;((24, 1), 9.0, 4.6);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-12 00:00:00;6660;4;((24, 1), 16.6, 3.2, 13.0, '2021-03-12T15:00:00');;((24, 1), 6.1, 3.5, 11.8, '2021-03-12T00:00:00');;((24, 1), 12.4, 3.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-13 00:00:00;6660;4;((24, 1), 18.1, 3.7, 13.1, '2021-03-13T12:00:00');;((24, 1), 6.6, 3.9, 11.7, '2021-03-13T23:00:00');;((24, 1), 12.4, 3.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-14 00:00:00;6660;4;((24, 1), 19.8, 4.1, 13.0, '2021-03-14T13:00:00');;((24, 1), 5.8, 4.0, 11.0, '2021-03-14T20:00:00');;((24, 1), 12.1, 4.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-15 00:00:00;6660;4;((24, 1), 14.8, 3.5, 9.6, '2021-03-15T13:00:00');;((24, 1), 4.6, 3.5, 8.5, '2021-03-15T06:00:00');;((24, 1), 9.0, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-16 00:00:00;6660;4;((24, 1), 14.3, 3.3, 8.1, '2021-03-16T10:00:00');;((24, 1), 3.6, 2.6, 7.0, '2021-03-16T23:00:00');;((24, 1), 7.6, 3.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-17 00:00:00;6660;4;((24, 1), 14.3, 4.1, 7.3, '2021-03-17T10:00:00');;((24, 1), 2.6, 3.5, 6.0, '2021-03-17T05:00:00');;((24, 1), 6.6, 3.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-18 00:00:00;6660;4;((24, 1), 11.1, 2.8, 4.6, '2021-03-18T09:00:00');;((24, 1), 1.3, 2.2, 3.5, '2021-03-18T03:00:00');;((24, 1), 4.0, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-19 00:00:00;6660;4;((24, 1), 11.6, 3.6, 5.6, '2021-03-19T13:00:00');;((24, 1), 1.1, 3.1, 4.4, '2021-03-19T01:00:00');;((24, 1), 5.0, 3.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-20 00:00:00;6660;4;((24, 1), 11.8, 3.3, 6.4, '2021-03-20T10:00:00');;((24, 1), 1.7, 2.9, 5.4, '2021-03-20T00:00:00');;((24, 1), 5.9, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-21 00:00:00;6660;4;((24, 1), 9.0, 1.7, 5.6, '2021-03-21T13:00:00');;((24, 1), 2.9, 1.4, 4.8, '2021-03-21T21:00:00');;((24, 1), 5.2, 1.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-22 00:00:00;6660;4;((24, 1), 11.2, 2.6, 7.3, '2021-03-22T13:00:00');;((24, 1), 3.4, 2.4, 6.3, '2021-03-22T04:00:00');;((24, 1), 6.8, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-23 00:00:00;6660;4;((24, 1), 10.4, 2.0, 7.5, '2021-03-23T16:00:00');;((24, 1), 3.8, 1.8, 6.6, '2021-03-23T23:00:00');;((24, 1), 7.1, 1.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-24 00:00:00;6660;4;((24, 1), 15.5, 4.8, 9.2, '2021-03-24T14:00:00');;((24, 1), 3.1, 4.6, 8.0, '2021-03-24T03:00:00');;((24, 1), 8.6, 4.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-25 00:00:00;6660;4;((24, 1), 18.8, 5.1, 11.1, '2021-03-25T12:00:00');;((24, 1), 3.8, 4.9, 9.8, '2021-03-25T06:00:00');;((24, 1), 10.5, 5.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-26 00:00:00;6660;4;((24, 1), 19.0, 4.7, 12.8, '2021-03-26T11:00:00');;((24, 1), 5.7, 4.7, 11.5, '2021-03-26T02:00:00');;((24, 1), 12.1, 4.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-27 00:00:00;6660;4;((24, 1), 18.0, 4.6, 12.2, '2021-03-27T12:00:00');;((24, 1), 5.8, 4.4, 10.9, '2021-03-27T02:00:00');;((24, 1), 11.5, 4.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-28 00:00:00;6660;4;((24, 1), 19.2, 4.4, 13.5, '2021-03-28T09:00:00');;((24, 1), 5.7, 4.5, 12.2, '2021-03-28T04:00:00');;((24, 1), 12.8, 4.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-29 00:00:00;6660;4;((24, 1), 20.1, 4.4, 14.1, '2021-03-29T11:00:00');;((24, 1), 7.1, 4.4, 12.8, '2021-03-29T05:00:00');;((24, 1), 13.4, 4.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-30 00:00:00;6660;4;((24, 1), 23.0, 4.9, 15.6, '2021-03-30T12:00:00');;((24, 1), 8.4, 4.8, 14.1, '2021-03-30T03:00:00');;((24, 1), 14.8, 4.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-31 00:00:00;6660;4;((24, 1), 23.8, 4.7, 17.4, '2021-03-31T10:00:00');;((24, 1), 11.1, 4.6, 16.2, '2021-03-31T05:00:00');;((24, 1), 16.8, 4.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-01 00:00:00;6660;4;((24, 1), 26.2, 5.1, 18.7, '2021-04-01T10:00:00');;((24, 1), 11.6, 4.8, 17.5, '2021-04-01T05:00:00');;((24, 1), 18.1, 4.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
